#LSD# 2048 1024 pano.pgm (width height input)
# FORMAT: x1, y1, x2, y2, width, p, -log10(NFA)
1889.620096 391.279930 1883.593025 393.535460 9.214824 0.125000 1.583668 
1336.184595 565.603038 1335.665665 581.916057 5.076959 0.125000 1.669122 
855.613609 856.014049 895.639679 855.484464 2.995901 0.125000 64.012634 
1175.430304 568.420302 1171.588904 598.408594 6.834638 0.125000 40.684139 
1630.626203 622.516991 1679.376012 622.613470 1.346476 0.125000 30.598305 
1724.703212 500.571479 1801.986142 490.203452 6.420862 0.125000 137.772388 
1250.955816 360.358902 1273.664703 350.054774 16.337423 0.125000 96.542963 
1640.609679 710.619620 1631.697111 736.001461 4.366480 0.125000 18.613152 
1393.363914 854.890163 1432.081378 849.649780 3.716116 0.125000 55.680269 
966.733826 412.645989 974.654899 414.096396 6.598069 0.125000 0.877478 
1089.230307 453.594492 1074.504655 456.324388 6.462963 0.125000 3.755956 
1762.009477 671.330582 1845.812461 655.358586 3.279277 0.125000 54.433759 
1669.328479 727.317371 1725.607753 724.075578 3.697828 0.125000 98.114063 
896.239853 273.579093 881.703854 253.247359 5.084257 0.125000 25.492297 
231.888000 815.519822 312.980619 825.543105 6.370000 0.125000 149.275378 
1727.293568 744.738230 1786.753797 736.045905 8.715639 0.125000 118.699854 
1551.935169 760.534018 1587.079743 720.806122 3.276629 0.125000 32.214126 
1658.922895 645.893985 1653.365951 662.377627 5.935962 0.125000 4.758927 
1672.062520 683.141780 1670.378191 701.964768 5.091510 0.125000 4.088462 
1046.028808 500.976076 1050.420396 464.652518 7.145709 0.125000 64.772866 
1666.874940 675.351892 1650.624940 675.355486 1.253041 0.003906 9.050642 
1663.925452 662.231729 1666.605316 646.828081 5.889248 0.125000 18.482709 
1700.739379 317.544100 1669.707951 311.434032 5.128280 0.125000 33.893264 
1679.437997 615.519916 1624.246022 616.971702 8.647822 0.125000 95.285407 
1670.317559 702.943491 1667.663484 725.716892 3.145994 0.125000 26.985945 
1895.299737 406.345657 1908.058880 404.013293 3.913648 0.125000 3.828174 
205.493279 811.401014 231.626847 815.836949 3.697118 0.125000 38.783138 
1218.154014 346.812439 1230.349736 352.468527 8.825392 0.125000 12.690939 
1075.583636 668.279761 1101.890531 667.286226 5.279489 0.125000 45.405537 
1690.636901 669.788164 1709.400884 670.055024 3.891826 0.125000 31.501395 
1544.297534 644.166290 1626.805858 650.304408 4.028639 0.125000 95.724659 
906.825670 840.457508 915.554791 837.886615 5.098533 0.125000 1.339231 
1959.338736 462.800870 1955.957597 489.257758 5.090367 0.125000 16.555228 
1126.781569 494.091381 1166.890068 497.969146 5.897842 0.125000 54.889505 
1371.903537 576.830650 1371.178321 596.804319 3.974310 0.125000 6.005790 
